"","type","model","value"
"1","Real","model1",0.478260869565217
"2","Real","model1",0.616883116883117
"3","Real","model1",0.6875
"4","Real","model1",0.492260061919505
"5","Real","model1",0.55108359133127
"6","Real","model1",0.453968253968254
"7","Real","model1",0.474916387959866
"8","Real","model1",0.473015873015873
"9","Real","model1",0.560371517027864
"10","Real","model1",0.653968253968254
"11","Real","model1",0.50625
"12","Real","model1",0.7125
"13","Real","model1",0.625
"14","Real","model1",0.553125
"15","Real","model1",0.551083591331269
"16","Real","model1",0.56656346749226
"17","Real","model1",0.509375
"18","Real","model1",0.517460317460317
"19","Real","model1",0.62012987012987
"20","Real","model1",0.504761904761905
"21","Real","model1",0.634920634920635
"22","Real","model1",0.615384615384615
"23","Real","model1",0.549382716049383
"24","Real","model1",0.46875
"25","Real","model1",0.581168831168831
"26","Real","model1",0.555183946488294
"27","Real","model1",0.577160493827161
"28","Real","model1",0.61875
"29","Real","model1",0.503846153846154
"30","Real","model1",0.603174603174603
"31","Real","model1",0.66875
"32","Real","model1",0.675925925925926
"33","Real","model1",0.56656346749226
"34","Real","model1",0.538461538461539
"35","Real","model1",0.51702786377709
"36","Real","model1",0.503125
"37","Real","model1",0.515625
"38","Real","model1",0.48297213622291
"39","Real","model1",0.603896103896104
"40","Real","model1",0.701587301587302
"41","Real","model1",0.489583333333333
"42","Real","model1",0.564935064935065
"43","Real","model1",0.572755417956656
"44","Real","model1",0.705685618729097
"45","Real","model1",0.538699690402477
"46","Real","model1",0.538699690402477
"47","Real","model1",0.417956656346749
"48","Real","model1",0.542857142857143
"49","Real","model1",0.582043343653251
"50","Real","model1",0.625396825396825
"51","Real","model1",0.571875
"52","Real","model1",0.678125
"53","Real","model1",0.564814814814815
"54","Real","model1",0.564935064935065
"55","Real","model1",0.612698412698413
"56","Real","model1",0.626623376623377
"57","Real","model1",0.578595317725753
"58","Real","model1",0.582043343653251
"59","Real","model1",0.640866873065016
"60","Real","model1",0.694444444444445
"61","Real","model1",0.561904761904762
"62","Real","model1",0.48297213622291
"63","Real","model1",0.575892857142857
"64","Real","model1",0.626623376623377
"65","Real","model1",0.580952380952381
"66","Real","model1",0.452012383900929
"67","Real","model1",0.558730158730159
"68","Real","model1",0.554179566563467
"69","Real","model1",0.592592592592593
"70","Real","model1",0.51875
"71","Real","model1",0.412337662337662
"72","Real","model1",0.555555555555555
"73","Real","model1",0.512987012987013
"74","Real","model1",0.625396825396826
"75","Real","model1",0.558641975308642
"76","Real","model1",0.593650793650794
"77","Real","model1",0.421875
"78","Real","model1",0.678125
"79","Real","model1",0.501547987616099
"80","Real","model1",0.536507936507936
"81","Real","model1",0.618729096989967
"82","Real","model1",0.631578947368421
"83","Real","model1",0.585284280936455
"84","Real","model1",0.474916387959866
"85","Real","model1",0.615625
"86","Real","model1",0.587301587301587
"87","Real","model1",0.59375
"88","Real","model1",0.697530864197531
"89","Real","model1",0.656346749226006
"90","Real","model1",0.563467492260062
"91","Real","model1",0.53968253968254
"92","Real","model1",0.50625
"93","Real","model1",0.431818181818182
"94","Real","model1",0.708978328173375
"95","Real","model1",0.387301587301587
"96","Real","model1",0.633116883116883
"97","Real","model1",0.574675324675325
"98","Real","model1",0.588235294117647
"99","Real","model1",0.631944444444444
"100","Real","model1",0.74375
"101","Real","model1",0.605351170568562
"102","Real","model1",0.584126984126984
"103","Real","model1",0.504643962848297
"104","Real","model1",0.569659442724458
"105","Real","model1",0.51702786377709
"106","Real","model1",0.647058823529412
"107","Real","model1",0.61609907120743
"108","Real","model1",0.623376623376623
"109","Real","model1",0.4625
"110","Real","model1",0.486068111455108
"111","Real","model1",0.492260061919505
"112","Real","model1",0.659090909090909
"113","Real","model1",0.688271604938272
"114","Real","model1",0.615625
"115","Real","model1",0.647058823529412
"116","Real","model1",0.501672240802676
"117","Real","model1",0.628571428571429
"118","Real","model1",0.672077922077922
"119","Real","model1",0.597402597402597
"120","Real","model1",0.462962962962963
"121","Real","model1",0.467492260061919
"122","Real","model1",0.657142857142857
"123","Real","model1",0.442724458204334
"124","Real","model1",0.577777777777778
"125","Real","model1",0.575
"126","Real","model1",0.60061919504644
"127","Real","model1",0.492063492063492
"128","Real","model1",0.46984126984127
"129","Real","model1",0.535603715170279
"130","Real","model1",0.503246753246753
"131","Real","model1",0.48559670781893
"132","Real","model1",0.62987012987013
"133","Real","model1",0.582043343653251
"134","Real","model1",0.578947368421053
"135","Real","model1",0.464396284829721
"136","Real","model1",0.552469135802469
"137","Real","model1",0.529220779220779
"138","Real","model1",0.607142857142857
"139","Real","model1",0.603174603174603
"140","Real","model1",0.584126984126984
"141","Real","model1",0.475
"142","Real","model1",0.590625
"143","Real","model1",0.503086419753087
"144","Real","model1",0.62037037037037
"145","Real","model1",0.496875
"146","Real","model1",0.646103896103896
"147","Real","model1",0.637770897832817
"148","Real","model1",0.54320987654321
"149","Real","model1",0.678018575851393
"150","Real","model1",0.578947368421053
"151","Real","model1",0.414860681114551
"152","Real","model1",0.571875
"153","Real","model1",0.558641975308642
"154","Real","model1",0.555555555555556
"155","Real","model1",0.520833333333333
"156","Real","model1",0.678018575851393
"157","Real","model1",0.5
"158","Real","model1",0.653968253968254
"159","Real","model1",0.590625
"160","Real","model1",0.533333333333333
"161","Real","model1",0.675
"162","Real","model1",0.463492063492063
"163","Real","model1",0.565625
"164","Real","model1",0.540625
"165","Real","model1",0.555555555555556
"166","Real","model1",0.577160493827161
"167","Real","model1",0.662538699690402
"168","Real","model1",0.461538461538462
"169","Real","model1",0.552469135802469
"170","Real","model1",0.548701298701299
"171","Real","model1",0.679012345679012
"172","Real","model1",0.546296296296297
"173","Real","model1",0.61609907120743
"174","Real","model1",0.567901234567901
"175","Real","model1",0.588235294117647
"176","Real","model1",0.541795665634675
"177","Real","model1",0.743506493506494
"178","Real","model1",0.481605351170569
"179","Real","model1",0.484375
"180","Real","model1",0.702341137123746
"181","Real","model1",0.513931888544892
"182","Real","model1",0.582043343653251
"183","Real","model1",0.444805194805195
"184","Real","model1",0.678571428571429
"185","Real","model1",0.653250773993808
"186","Real","model1",0.5375
"187","Real","model1",0.523219814241486
"188","Real","model1",0.553125
"189","Real","model1",0.476780185758514
"190","Real","model1",0.5
"191","Real","model1",0.675925925925926
"192","Real","model1",0.565079365079365
"193","Real","model1",0.559375
"194","Real","model1",0.551948051948052
"195","Real","model1",0.62037037037037
"196","Real","model1",0.523809523809524
"197","Real","model1",0.501547987616099
"198","Real","model1",0.465454545454545
"199","Real","model1",0.69969040247678
"200","Real","model1",0.626623376623377
"201","Real","model1",0.533950617283951
"202","Real","model1",0.596825396825397
"203","Real","model1",0.598765432098766
"204","Real","model1",0.514285714285714
"205","Real","model1",0.512345679012346
"206","Real","model1",0.628482972136223
"207","Real","model1",0.714285714285714
"208","Real","model1",0.575
"209","Real","model1",0.603715170278638
"210","Real","model1",0.556363636363636
"211","Real","model1",0.551083591331269
"212","Real","model1",0.685185185185185
"213","Real","model1",0.591331269349845
"214","Real","model1",0.621875
"215","Real","model1",0.51875
"216","Real","model1",0.421875
"217","Real","model1",0.474916387959866
"218","Real","model1",0.508361204013378
"219","Real","model1",0.561904761904762
"220","Real","model1",0.492063492063492
"221","Real","model1",0.653125
"222","Real","model1",0.60064935064935
"223","Real","model1",0.581939799331104
"224","Real","model1",0.503125
"225","Real","model1",0.592592592592593
"226","Real","model1",0.603125
"227","Real","model1",0.633116883116883
"228","Real","model1",0.557275541795666
"229","Real","model1",0.546875
"230","Real","model1",0.588235294117647
"231","Real","model1",0.606811145510836
"232","Real","model1",0.656346749226006
"233","Real","model1",0.581939799331104
"234","Real","model1",0.607142857142857
